,class,name/encoded,s_name_1,s_name_2,s_name_3,s_name_4,s_name_5,s_name_6,s_name_7,s_name_8,s_name_9,s_name_10
9944,4973,himmatmal,himmatlal,himatlal,henav,hemangi,hemangd,himangshu,himangi,hemangee,hemangini,hemang
9945,Encode,HANATN,HANATL,HANATL,HANAV,HANANG,HANANG,HANANG,HANANG,HANANG,HANANG,HANANG
9946,4974,himmatrao,himmatlal,himatlal,henav,hemangi,hemangd,himangshu,himangi,hemangee,hemangini,hemang
9947,Encode,HANATR,HANATL,HANATL,HANAV,HANANG,HANANG,HANANG,HANANG,HANANG,HANANG,HANANG
9948,4975,himmatsingh,himmatlal,himatlal,henav,himasnhu,hemasnhu,himmat,hanmnatha,homita,himat,himmatmal
9949,Encode,HANATS,HANATL,HANATL,HANAV,HANASN,HANASN,HANAT,HANAT,HANAT,HANAT,HANATN
9950,4976,henav,henav,himasnhu,hemasnhu,himmatlal,himatlal,himalay,himaprava,hemangi,hemangd,himangshu
9951,Encode,HANAV,HANAV,HANASN,HANASN,HANATL,HANATL,HANALY,HANAPR,HANANG,HANANG,HANANG
9952,4977,hemavathi,hemavathi,hemachandra,hemakar,himakar,himachal,hemachand,humaparveen,himamala,hanumnath,hanumanthbhat
9953,Encode,HANAVA,HANAVA,HANACA,HANACA,HANACA,HANACA,HANACA,HANAPA,HANANA,HANANA,HANANA
9954,4978,hemaxi,hemangi,hemangd,himangshu,himangi,hemangee,hemangini,hemang,himasnhu,hemasnhu,himalay
9955,Encode,HANAX,HANANG,HANANG,HANANG,HANANG,HANANG,HANANG,HANANG,HANASN,HANASN,HANALY
9956,4979,haniya,hymaja,hymad,himalay,himaprava,haniya,honnaya,hemangi,hemangd,himangshu,himangi
9957,Encode,HANAY,HYNAJ,HYNAD,HANALY,HANAPR,HANAY,HANAY,HANANG,HANANG,HANANG,HANANG
9958,4980,humayuddin,hymavathi,hemachandra,hemakar,himakar,himachal,hemachand,humaparveen,himamala,hanumnath,hanumanthbhat
9959,Encode,HANAYA,HYNAVA,HANACA,HANACA,HANACA,HANACA,HANACA,HANAPA,HANANA,HANANA,HANANA
9960,4981,hambirrao,hemkiran,hambirrao,hingora,himgauri,hanspraksh,homyar,hemvardhan,hansaraj,hayder,hifzur
9961,Encode,HANBAR,HANCAR,HANBAR,HANGAR,HANGAR,HANSPR,HANYAR,HANVAR,HANSAR,HAYDAR,HAFSAR
9962,4982,hinchh,hemkrushna,hinchh,huma,honesh,himesh,haani,henna,hanosh,hanish,haima
9963,Encode,HANC,HANCRA,HANC,HAN,HAN,HAN,HAN,HAN,HAN,HAN,HAN
9964,4983,hemchand,hemchand,hemkant,himkedar,hemlata,hemjit,hemchandra,hemkumar,hamsika,hansika,himtej
9965,Encode,HANCAD,HANCAD,HANCAD,HANCAD,HANLAT,HANJAT,HANCAN,HANCAN,HANSAC,HANSAC,HANTAJ
9966,4984,hemchandra,hemchand,hemkant,himkedar,hemlata,hemjit,hemchandra,hemkumar,hamsika,hansika,hinjawadi
9967,Encode,HANCAN,HANCAD,HANCAD,HANCAD,HANLAT,HANJAT,HANCAN,HANCAN,HANSAC,HANSAC,HANJAD
9968,4985,hemkiran,hemkiran,hambirrao,hingora,himgauri,hanspraksh,hemvardhan,homyar,hansaraj,hayder,hifzur
9969,Encode,HANCAR,HANCAR,HANBAR,HANGAR,HANGAR,HANSPR,HANVAR,HANYAR,HANSAR,HAYDAR,HAFSAR
9970,4986,hemkrushna,hemkrushna,hemprasad,hemprakash,hinchh,henny,hanee,hanny,hamee,hunny,honey
9971,Encode,HANCRA,HANCRA,HANPRA,HANPRA,HANC,HANY,HANY,HANY,HANY,HANY,HANY
9972,4987,handa,handge,handa,honda,haeendra,hundraj,huma,honesh,himesh,haani,henna
9973,Encode,HAND,HANDG,HAND,HAND,HANDR,HANDRA,HAN,HAN,HAN,HAN,HAN
9974,4988,haindaday,haindaday,hindole,hindol,hindavi,hindurao,hinduja,hindupur,wendell,tandava,thandaveswaran
9975,Encode,HANDAD,HANDAD,HANDAL,HANDAL,HANDAV,HANDAR,HANDAJ,HANDAP,WANDAL,TANDAV,TANDAV
9976,4989,hinduja,haindaday,hindole,hindol,hinduja,hindavi,hindurao,hindupur,wendell,tandava,thandaveswaran
9977,Encode,HANDAJ,HANDAD,HANDAL,HANDAL,HANDAJ,HANDAV,HANDAR,HANDAP,WANDAL,TANDAV,TANDAV
